graph,nodes,edges,build,precision,threads,damping,tolerance,iterations,converged,seconds_total,seconds_per_iter,rank_sum
data/snap/wiki-Vote.csr,7115,103689,seq,double,1,0.85,1e-06,16,1,0.002820,0.000176,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,1,0.85,1e-06,16,1,0.002679,0.000167,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,2,0.85,1e-06,16,1,0.001210,0.000076,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,4,0.85,1e-06,16,1,0.000931,0.000058,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,8,0.85,1e-06,16,1,0.118137,0.007384,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,float,8,0.85,1e-06,16,1,0.063547,0.003972,0.999999972595106
data/snap/wiki-Vote.csr,7115,103689,seq,double,1,0.85,1e-06,16,1,0.001847,0.000115,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,1,0.85,1e-06,16,1,0.002203,0.000138,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,2,0.85,1e-06,16,1,0.001132,0.000071,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,4,0.85,1e-06,16,1,0.000684,0.000043,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,8,0.85,1e-06,16,1,0.000602,0.000038,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,float,8,0.85,1e-06,16,1,0.027600,0.001725,0.999999972595106
data/snap/wiki-Vote.csr,7115,103689,seq,double,1,0.85,1e-06,16,1,0.001821,0.000114,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,1,0.85,1e-06,16,1,0.002135,0.000133,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,2,0.85,1e-06,16,1,0.001092,0.000068,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,4,0.85,1e-06,16,1,0.000771,0.000048,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,8,0.85,1e-06,16,1,0.003124,0.000195,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,float,8,0.85,1e-06,16,1,0.000653,0.000041,0.999999972595106
data/snap/web-NotreDame.csr,325729,1497134,seq,double,1,0.85,1e-06,58,1,0.152004,0.002621,1.000000000000150
data/snap/web-NotreDame.csr,325729,1497134,omp,double,1,0.85,1e-06,58,1,0.158916,0.002740,1.000000000000150
data/snap/web-NotreDame.csr,325729,1497134,omp,double,2,0.85,1e-06,58,1,0.087307,0.001505,1.000000000000180
data/snap/web-NotreDame.csr,325729,1497134,omp,double,4,0.85,1e-06,58,1,0.055193,0.000952,1.000000000000173
data/snap/web-NotreDame.csr,325729,1497134,omp,double,8,0.85,1e-06,58,1,0.049251,0.000849,1.000000000000168
data/snap/web-NotreDame.csr,325729,1497134,omp,float,8,0.85,1e-06,58,1,0.052641,0.000908,0.999999999238298
data/snap/web-NotreDame.csr,325729,1497134,seq,double,1,0.85,1e-06,58,1,0.149570,0.002579,1.000000000000150
data/snap/web-NotreDame.csr,325729,1497134,omp,double,1,0.85,1e-06,58,1,0.156018,0.002690,1.000000000000150
data/snap/web-NotreDame.csr,325729,1497134,omp,double,2,0.85,1e-06,58,1,0.087550,0.001509,1.000000000000180
data/snap/web-NotreDame.csr,325729,1497134,omp,double,4,0.85,1e-06,58,1,0.054008,0.000931,1.000000000000173
data/snap/web-NotreDame.csr,325729,1497134,omp,double,8,0.85,1e-06,58,1,0.062210,0.001073,1.000000000000168
data/snap/web-NotreDame.csr,325729,1497134,omp,float,8,0.85,1e-06,58,1,0.047958,0.000827,0.999999999238298
data/snap/web-NotreDame.csr,325729,1497134,seq,double,1,0.85,1e-06,58,1,0.162417,0.002800,1.000000000000150
data/snap/web-NotreDame.csr,325729,1497134,omp,double,1,0.85,1e-06,58,1,0.160802,0.002772,1.000000000000150
data/snap/web-NotreDame.csr,325729,1497134,omp,double,2,0.85,1e-06,58,1,0.089398,0.001541,1.000000000000180
data/snap/web-NotreDame.csr,325729,1497134,omp,double,4,0.85,1e-06,58,1,0.056539,0.000975,1.000000000000173
data/snap/web-NotreDame.csr,325729,1497134,omp,double,8,0.85,1e-06,58,1,0.096611,0.001666,1.000000000000168
data/snap/web-NotreDame.csr,325729,1497134,omp,float,8,0.85,1e-06,58,1,0.051219,0.000883,0.999999999238298
data/snap/web-Stanford.csr,281903,2312497,seq,double,1,0.85,1e-06,63,1,0.325692,0.005170,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,1,0.85,1e-06,63,1,0.329358,0.005228,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,2,0.85,1e-06,63,1,0.168485,0.002674,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,4,0.85,1e-06,63,1,0.102359,0.001625,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,8,0.85,1e-06,63,1,0.121677,0.001931,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,float,8,0.85,1e-06,63,1,0.105143,0.001669,0.999999989271259
data/snap/web-Stanford.csr,281903,2312497,seq,double,1,0.85,1e-06,63,1,0.336172,0.005336,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,1,0.85,1e-06,63,1,0.319218,0.005067,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,2,0.85,1e-06,63,1,0.165311,0.002624,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,4,0.85,1e-06,63,1,0.098637,0.001566,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,8,0.85,1e-06,63,1,0.097908,0.001554,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,float,8,0.85,1e-06,63,1,0.095609,0.001518,0.999999989271259
data/snap/web-Stanford.csr,281903,2312497,seq,double,1,0.85,1e-06,63,1,0.324673,0.005154,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,1,0.85,1e-06,63,1,0.333342,0.005291,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,2,0.85,1e-06,63,1,0.169507,0.002691,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,4,0.85,1e-06,63,1,0.099158,0.001574,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,double,8,0.85,1e-06,63,1,0.091533,0.001453,1.000000000000591
data/snap/web-Stanford.csr,281903,2312497,omp,float,8,0.85,1e-06,63,1,0.096876,0.001538,0.999999989271259
data/snap/web-Google.csr,875713,5105039,seq,double,1,0.85,1e-06,62,1,1.155736,0.018641,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,1,0.85,1e-06,62,1,1.200948,0.019370,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,2,0.85,1e-06,62,1,0.645357,0.010409,0.999999999997044
data/snap/web-Google.csr,875713,5105039,omp,double,4,0.85,1e-06,62,1,0.376772,0.006077,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,double,8,0.85,1e-06,62,1,0.367136,0.005922,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,float,8,0.85,1e-06,62,1,0.308016,0.004968,0.999999999235143
data/snap/web-Google.csr,875713,5105039,seq,double,1,0.85,1e-06,62,1,1.152028,0.018581,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,1,0.85,1e-06,62,1,1.177326,0.018989,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,2,0.85,1e-06,62,1,0.647475,0.010443,0.999999999997044
data/snap/web-Google.csr,875713,5105039,omp,double,4,0.85,1e-06,62,1,0.385782,0.006222,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,double,8,0.85,1e-06,62,1,0.363486,0.005863,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,float,8,0.85,1e-06,62,1,0.300507,0.004847,0.999999999235143
data/snap/web-Google.csr,875713,5105039,seq,double,1,0.85,1e-06,62,1,1.150513,0.018557,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,1,0.85,1e-06,62,1,1.183961,0.019096,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,2,0.85,1e-06,62,1,0.649759,0.010480,0.999999999997044
data/snap/web-Google.csr,875713,5105039,omp,double,4,0.85,1e-06,62,1,0.387084,0.006243,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,double,8,0.85,1e-06,62,1,0.360911,0.005821,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,float,8,0.85,1e-06,62,1,0.259182,0.004180,0.999999999235143
data/snap/web-BerkStan.csr,685230,7600595,seq,double,1,0.85,1e-06,64,1,0.661743,0.010340,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,1,0.85,1e-06,64,1,0.664674,0.010386,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,2,0.85,1e-06,64,1,0.355570,0.005556,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,4,0.85,1e-06,64,1,0.216394,0.003381,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,8,0.85,1e-06,64,1,0.197894,0.003092,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,float,8,0.85,1e-06,64,1,0.170703,0.002667,0.999999999433868
data/snap/web-BerkStan.csr,685230,7600595,seq,double,1,0.85,1e-06,64,1,0.661829,0.010341,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,1,0.85,1e-06,64,1,0.669001,0.010453,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,2,0.85,1e-06,64,1,0.355937,0.005562,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,4,0.85,1e-06,64,1,0.217362,0.003396,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,8,0.85,1e-06,64,1,0.194137,0.003033,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,float,8,0.85,1e-06,64,1,0.172081,0.002689,0.999999999433868
data/snap/web-BerkStan.csr,685230,7600595,seq,double,1,0.85,1e-06,64,1,0.657896,0.010280,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,1,0.85,1e-06,64,1,0.667259,0.010426,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,2,0.85,1e-06,64,1,0.354533,0.005540,1.000000000001078
data/snap/web-BerkStan.csr,685230,7600595,omp,double,4,0.85,1e-06,64,1,0.221723,0.003464,1.000000000001078
