graph,nodes,edges,build,precision,threads,damping,tolerance,iterations,converged,seconds_total,seconds_per_iter,rank_sum
data/snap/wiki-Vote.csr,7115,103689,seq,double,1,0.85,1e-06,16,1,0.002181,0.000136,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,1,0.85,1e-06,16,1,0.002275,0.000142,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,2,0.85,1e-06,16,1,0.001149,0.000072,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,4,0.85,1e-06,16,1,0.000859,0.000054,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,8,0.85,1e-06,16,1,0.203913,0.012745,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,float,8,0.85,1e-06,16,1,0.076762,0.004798,0.999999972595106
data/snap/wiki-Vote.csr,7115,103689,seq,double,1,0.85,1e-06,16,1,0.001997,0.000125,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,1,0.85,1e-06,16,1,0.002273,0.000142,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,2,0.85,1e-06,16,1,0.001098,0.000069,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,4,0.85,1e-06,16,1,0.000784,0.000049,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,8,0.85,1e-06,16,1,0.006088,0.000380,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,float,8,0.85,1e-06,16,1,0.001505,0.000094,0.999999972595106
data/snap/wiki-Vote.csr,7115,103689,seq,double,1,0.85,1e-06,16,1,0.002217,0.000139,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,1,0.85,1e-06,16,1,0.002140,0.000134,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,2,0.85,1e-06,16,1,0.001137,0.000071,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,4,0.85,1e-06,16,1,0.000830,0.000052,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,double,8,0.85,1e-06,16,1,0.043889,0.002743,1.000000000000048
data/snap/wiki-Vote.csr,7115,103689,omp,float,8,0.85,1e-06,16,1,0.045105,0.002819,0.999999972595106
data/snap/web-Google.csr,875713,5105039,seq,double,1,0.85,1e-06,62,1,1.330098,0.021453,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,1,0.85,1e-06,62,1,1.397541,0.022541,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,2,0.85,1e-06,62,1,0.741270,0.011956,0.999999999997044
data/snap/web-Google.csr,875713,5105039,omp,double,4,0.85,1e-06,62,1,0.471432,0.007604,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,double,8,0.85,1e-06,62,1,0.518590,0.008364,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,float,8,0.85,1e-06,62,1,0.346701,0.005592,0.999999999235143
data/snap/web-Google.csr,875713,5105039,seq,double,1,0.85,1e-06,62,1,1.422365,0.022941,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,1,0.85,1e-06,62,1,1.559173,0.025148,0.999999999997039
data/snap/web-Google.csr,875713,5105039,omp,double,2,0.85,1e-06,62,1,0.877649,0.014156,0.999999999997044
data/snap/web-Google.csr,875713,5105039,omp,double,4,0.85,1e-06,62,1,0.458665,0.007398,0.999999999997045
data/snap/web-Google.csr,875713,5105039,omp,double,8,0.85,1e-06,62,1,0.570976,0.009209,0.999999999997045
